indice;nbTuples;tempsReel;tempsCPU;tempsUser;tempsSys;nbTimeOut
0;204;1953776.3333333333;1952065.3333333333;0.0;1952065.3333333333;0
0;204;5180702.0;5179062.0;3333333.3333333335;1845728.6666666665;0
0;204;136201.66666666666;134567.0;0.0;134567.0;0
0;204;1.0909920666666666E7;1.0907694333333334E7;1.3333333333333334E7;-2425639.0;0
0;204;108879.66666666667;107371.33333333333;0.0;107371.33333333333;0
0;204;65383.333333333336;64153.0;0.0;64153.0;0
0;204;65454.333333333336;64169.0;0.0;64169.0;0
0;204;2280120.3333333335;2278631.6666666665;3333333.3333333335;-1054701.666666667;0
0;204;1.9890631666666668E7;1.9889077666666668E7;1.6666666666666666E7;3222411.000000002;0
0;204;65225.666666666664;64043.666666666664;0.0;64043.666666666664;0
0;204;99597.33333333333;98548.33333333333;0.0;98548.33333333333;0
0;204;50327.666666666664;49255.333333333336;0.0;49255.333333333336;0
0;204;7.044084E7;7.0438524E7;7.0E7;438524.0;0
0;204;68057.0;67033.0;0.0;67033.0;0
0;204;79023.33333333333;78180.0;0.0;78180.0;0
0;204;59257.333333333336;58379.666666666664;0.0;58379.666666666664;0
0;204;48665.0;47804.333333333336;0.0;47804.333333333336;0
0;204;47926.333333333336;47172.333333333336;0.0;47172.333333333336;0
0;204;71824.66666666667;71011.66666666667;0.0;71011.66666666667;0
0;204;75996.33333333333;75085.33333333333;0.0;75085.33333333333;0
0;204;7372792.333333333;7371624.666666667;6666666.666666667;704958.0;0
0;204;48093.333333333336;47236.0;0.0;47236.0;0
0;204;59647.0;58787.666666666664;0.0;58787.666666666664;0
0;204;100121.0;92596.0;0.0;92596.0;0
0;204;81655.66666666667;73901.0;0.0;73901.0;0
0;204;93297.33333333333;92199.66666666667;0.0;92199.66666666667;0
0;204;1866572.0;1865577.3333333333;0.0;1865577.3333333333;0
0;204;49559.666666666664;48769.0;0.0;48769.0;0
0;204;45169.666666666664;44412.333333333336;0.0;44412.333333333336;0
0;204;58507.0;57635.666666666664;0.0;57635.666666666664;0
1;202;354199.6666666667;353496.6666666667;0.0;353496.6666666667;0
1;202;40200.333333333336;39496.333333333336;0.0;39496.333333333336;0
1;202;39207.666666666664;38474.333333333336;0.0;38474.333333333336;0
1;202;2.44850042E8;2.4482739866666666E8;2.4333333333333334E8;1494065.3333333135;0
1;202;4.7268719333333336E7;4.7267175666666664E7;4.6666666666666664E7;600509.0;0
1;202;2.8221676666666668E7;2.8220624E7;3.0E7;-1779376.0;0
1;202;5.5527321E7;5.5508540333333336E7;5.3333333333333336E7;2175207.0;0
1;202;62383.333333333336;61226.0;0.0;61226.0;0
1;202;77454.0;76437.0;0.0;76437.0;0
1;202;1.2010250466666667E8;1.19798126E8;1.1666666666666667E8;3131459.3333333284;0
1;202;40584.333333333336;39945.333333333336;0.0;39945.333333333336;0
1;202;39689.333333333336;39031.333333333336;0.0;39031.333333333336;0
1;202;7962927.333333333;7962146.666666667;6666666.666666667;1295480.0;0
1;202;39819.666666666664;39193.666666666664;0.0;39193.666666666664;0
1;202;1.02105026E8;1.0210120333333333E8;1.0333333333333333E8;-1232130.0;0
1;202;1957270.3333333333;1956421.0;3333333.3333333335;-1376912.3333333335;0
1;202;40134.666666666664;39523.333333333336;0.0;39523.333333333336;0
1;202;1043643.6666666666;1042905.0;0.0;1042905.0;0
1;202;53130.0;52456.0;0.0;52456.0;0
1;202;43003.666666666664;42344.333333333336;0.0;42344.333333333336;0
1;202;1.7322419666666668E7;1.7311180333333332E7;1.6666666666666666E7;644513.666666666;0
1;202;54385.666666666664;53723.0;0.0;53723.0;0
1;202;36365.0;35824.333333333336;0.0;35824.333333333336;0
1;202;8406011.333333334;8389007.0;1.0E7;-1610993.0;0
1;202;5878197.333333333;5877534.0;3333333.3333333335;2544200.6666666665;0
1;202;36424.666666666664;35823.333333333336;0.0;35823.333333333336;0
1;202;35884.666666666664;35368.0;0.0;35368.0;0
1;202;37426.333333333336;36838.666666666664;0.0;36838.666666666664;0
1;202;42877.333333333336;42299.666666666664;0.0;42299.666666666664;0
1;202;2125560.3333333335;2124920.6666666665;3333333.3333333335;-1208412.666666667;0
2;200;37117.666666666664;36506.0;0.0;36506.0;0
2;200;35029.0;34393.0;0.0;34393.0;0
2;200;34608.666666666664;34035.0;0.0;34035.0;0
2;200;33959.0;33374.666666666664;0.0;33374.666666666664;0
2;200;34506.666666666664;33944.0;0.0;33944.0;0
2;200;46659.0;46066.0;0.0;46066.0;0
2;200;41058.666666666664;40440.666666666664;0.0;40440.666666666664;0
